Condition,Acc_mean,Acc_std,F1_mean,F1_std,AUC_mean,AUC_std,Time_s
No VQC (Tab-only),0.9824999999999999,0.021794494717703377,0.9858961406344715,0.01762750527389953,0.9966666666666667,0.005163977794943213,22.2
VQC 6q-1L,0.9949999999999999,0.010000000000000009,0.9960000000000001,0.008000000000000007,0.9990666666666665,0.001866666666666639,117.6
VQC 6q-2L,0.9875,0.015811388300841892,0.9899393939393939,0.012745153384819305,0.9965333333333334,0.005422586508710073,198.4
VQC 6q-3L,0.9774999999999998,0.020000000000000007,0.9816944959802102,0.01628055218824371,0.9957333333333335,0.005555377774933223,258.4
4q-VQC,0.9850000000000001,0.020000000000000018,0.9878367346938776,0.016286481491826,0.9962666666666667,0.0068195796546903515,67.8
6q-VQC,0.9774999999999998,0.020000000000000007,0.9816944959802102,0.01628055218824371,0.9957333333333335,0.005555377774933223,213.2
6q-3L reupload=off,0.975,0.017677669529663705,0.9798375592661307,0.014171641378023308,0.9944000000000001,0.006986972003506069,214.3
6q-3L reupload=on,0.9774999999999998,0.020000000000000007,0.9816944959802102,0.01628055218824371,0.9957333333333335,0.005555377774933223,262.9
6q-3L no DP,0.9774999999999998,0.020000000000000007,0.9816944959802102,0.01628055218824371,0.9957333333333335,0.005555377774933223,241.7
6q-3L DP (eps~3),0.5625,0.07705517503711222,0.5779028899287919,0.12368998270632675,0.5641333333333332,0.1085798426146503,253.4
PCA-4->VQC,0.9625,0.02850438562747848,0.9691811252016717,0.024070316988257623,0.9921333333333333,0.00847899365097849,0.0
PCA-6->VQC,0.9675,0.01870828693386972,0.9736060606060606,0.015304800377677287,0.9944000000000001,0.005571355310873649,0.0
