feature,mean_abs_input_gradient
cad,4.348610015089313
dm,2.9971282241710773
pcc,2.9478922886153063
ane,2.4889179825161896
pe,2.43698909827508
ba,2.3138001173734666
htn,1.3862678942270577
appet,1.3602368186538418
rc,1.1026726352671783
sod,0.9049580437752108
hemo,0.7355726001163324
pc,0.7308544230957826
sc,0.7107323406574627
pot,0.6983805496866504
bu,0.6851355141339203
pcv,0.6595296695207556
rbc,0.6176427580726643
wc,0.5971036793043216
al,0.4142635852098465
bp,0.4128740449436009
age,0.39674916764100393
bgr,0.35620921372125547
su,0.29581342421782514
sg,0.26648578646903237
